Article_ID,News_source,Date_published,Country,Cities_mentioned
1,de telegraaf,19/04/2023,NL,['Utrecht']
2,de telegraaf,20/04/2023,NL,['Utrecht']
3,de telegraaf,21/04/2023,NL,"['Paris', 'Barcelona', 'Rotterdam']"
4,nrc handelsblad,22/04/2023,NL,"['Amsterdam', 'Tokyo', 'Seoul', 'Houston', 'Phoenix', 'Ontario', 'London']"
5,de telegraaf,23/04/2023,NL,"['Heerenveen', 'Heerhugowaard']"
6,de telegraaf,24/04/2023,NL,[]
7,nrc handelsblad,25/04/2023,NL,"['Weesp', 'Amsterdam', 'Zaandam']"
8,nrc handelsblad,26/04/2023,NL,"['The Hague', 'Amsterdam']"
9,de telegraaf,27/04/2023,NL,['Amsterdam']
10,de telegraaf,28/04/2023,NL,['Utrecht']
11,nrc handelsblad,29/04/2023,NL,['Rotterdam']
12,de telegraaf,30/04/2023,NL,['Amsterdam']
13,de telegraaf,01/05/2023,NL,"['The Hague', 'Assen', 'Zwolle']"
14,de telegraaf,02/05/2023,NL,['Amsterdam']
15,de telegraaf,03/05/2023,NL,"['Boston', 'Amsterdam']"
16,de telegraaf,04/05/2023,NL,[]
17,de telegraaf,05/05/2023,NL,"['Ede', 'Amsterdam', 'Venlo']"
18,de telegraaf,06/05/2023,NL,['Rotterdam']
19,de telegraaf,07/05/2023,NL,"['The Hague', 'Amsterdam', 'San Francisco']"
20,de telegraaf,08/05/2023,NL,['Woerden']
21,de telegraaf,09/05/2023,NL,"['Amsterdam', 'Stadskanaal', 'Emmen']"
22,de telegraaf,10/05/2023,NL,['The Hague']
23,nrc handelsblad,11/05/2023,NL,['Caltanissetta']
24,de telegraaf,12/05/2023,NL,['Leeuwarden']
25,nrc handelsblad,13/05/2023,NL,"['Leiden', 'Amsterdam', 'Rotterdam', 'Utrecht']"
26,de telegraaf,14/05/2023,NL,['Dubai']
27,de telegraaf,15/05/2023,NL,"['Manhattan', 'Brussels', 'Washington', 'New York', 'Gaza']"
28,nrc handelsblad,16/05/2023,NL,['Utrecht']
29,de telegraaf,17/05/2023,NL,"['The Hague', 'Paris']"
30,de telegraaf,18/05/2023,NL,['Prague']
31,de telegraaf,19/05/2023,NL,"['Utrecht', 'Nieuwegein']"
32,de telegraaf,20/05/2023,NL,"['Brussels', 'Utrecht']"
33,de telegraaf,21/05/2023,NL,['Amsterdam']
34,de telegraaf,22/05/2023,NL,['The Hague']
35,de telegraaf,23/05/2023,NL,"['Amsterdam', 'Utrecht']"
36,de telegraaf,24/05/2023,NL,[]
37,de telegraaf,25/05/2023,NL,"['The Hague', 'Amsterdam', 'Leiden', 'Zwolle', 'Tilburg', 'Rotterdam', 'Apeldoorn', 'Amersfoort', 'Utrecht', 'Maassluis', 'Houten']"
38,de telegraaf,26/05/2023,NL,"['Rotterdam', 'Maarssen', 'Utrecht', 'Nieuwegein']"
39,de telegraaf,27/05/2023,NL,"['Amsterdam', 'Rotterdam', 'Utrecht']"
40,de telegraaf,28/05/2023,NL,['Rotterdam']
41,nrc handelsblad,29/05/2023,NL,"['Tripoli', 'Amsterdam', 'Rotterdam', 'Panama City']"
42,nrc handelsblad,30/05/2023,NL,[]
43,de telegraaf,31/05/2023,NL,"['The Hague', 'Utrecht']"
44,de telegraaf,01/06/2023,NL,[]
45,de telegraaf,02/06/2023,NL,[]
46,de telegraaf,03/06/2023,NL,['Amsterdam']
47,de telegraaf,04/06/2023,NL,['Rotterdam']
48,de telegraaf,05/06/2023,NL,['Eindhoven']
49,nrc handelsblad,06/06/2023,NL,['Helmond']
50,de telegraaf,07/06/2023,NL,"['The Hague', 'Amsterdam']"
51,de telegraaf,08/06/2023,NL,[]
52,de telegraaf,09/06/2023,NL,['Utrecht']
53,de telegraaf,10/06/2023,NL,"['The Hague', 'Rotterdam', 'Delft', 'Leiden']"
54,de telegraaf,11/06/2023,NL,"['De Bilt', 'Amersfoort', 'Utrecht', 'Nieuwegein', 'Houten', 'Woerden']"
55,de telegraaf,12/06/2023,NL,['Amsterdam']
56,de telegraaf,13/06/2023,NL,"['Baden-Baden', 'Rotterdam', 'Baden', 'Nagold']"
57,de telegraaf,14/06/2023,NL,"['Amsterdam', 'Utrecht', 'Nieuwegein']"
58,nrc handelsblad,15/06/2023,NL,['Amsterdam']
59,de telegraaf,16/06/2023,NL,['Amsterdam']
60,de telegraaf,17/06/2023,NL,[]
61,de telegraaf,18/06/2023,NL,['Amsterdam']
62,de telegraaf,19/06/2023,NL,['The Hague']
63,de telegraaf,20/06/2023,NL,['Zwijndrecht']
64,nrc handelsblad,21/06/2023,NL,[]
65,de telegraaf,22/06/2023,NL,"['Almelo', 'Tokyo', 'Oosterhout', 'Haarlem', 'Detroit', 'Heerlen', 'Emmen', 'Corona', 'Berlin', 'Hengelo', 'Delhi']"
66,nrc handelsblad,23/06/2023,NL,"['New York', 'Amsterdam']"
67,de telegraaf,24/06/2023,NL,[]
68,nrc handelsblad,25/06/2023,NL,"['Phoenix', 'Boston', 'Amsterdam']"
69,de telegraaf,26/06/2023,NL,[]
70,de telegraaf,27/06/2023,NL,['Apeldoorn']
71,de telegraaf,28/06/2023,NL,"['Mobile', 'Hanoi', 'Ontario']"
72,nrc handelsblad,29/06/2023,NL,['Utrecht']
73,nrc handelsblad,30/06/2023,NL,"['Paris', 'New York', 'Barcelona', 'London']"
74,de telegraaf,01/07/2023,NL,['Amsterdam']
75,nrc handelsblad,02/07/2023,NL,[]
76,de telegraaf,03/07/2023,NL,[]
77,de telegraaf,04/07/2023,NL,['Amsterdam']
78,de telegraaf,05/07/2023,NL,['Amsterdam']
79,nrc handelsblad,06/07/2023,NL,[]
80,de telegraaf,07/07/2023,NL,['The Hague']
81,de telegraaf,08/07/2023,NL,"['The Hague', 'Amsterdam', 'Rotterdam', 'Utrecht', 'Arnhem']"
82,de telegraaf,09/07/2023,NL,[]
83,de telegraaf,10/07/2023,NL,"['Groesbeek', 'Cuijk']"
84,nrc handelsblad,11/07/2023,NL,['Belgrade']
85,nrc handelsblad,12/07/2023,NL,"['Amsterdam', 'Utrecht', 'Oslo']"
86,nrc handelsblad,13/07/2023,NL,['Amsterdam']
87,de telegraaf,14/07/2023,NL,['Leeuwarden']
88,de telegraaf,15/07/2023,NL,"['Amsterdam', 'Rotterdam']"
89,de telegraaf,16/07/2023,NL,['Utrecht']
90,nrc handelsblad,17/07/2023,NL,"['Amsterdam', 'Utrecht', 'Tilburg']"
91,de telegraaf,18/07/2023,NL,"['Zanzibar', 'Amsterdam', 'Utrecht']"
92,de telegraaf,19/07/2023,NL,['Rotterdam']
93,de telegraaf,20/07/2023,NL,['Amsterdam']
94,de telegraaf,21/07/2023,NL,['Utrecht']
95,de telegraaf,22/07/2023,NL,['Amsterdam']
96,nrc handelsblad,23/07/2023,NL,[]
97,nrc handelsblad,24/07/2023,NL,['Rotterdam']
98,de telegraaf,25/07/2023,NL,"['The Hague', 'Amsterdam']"
